file,site,new_label,new_source,reason,decided_by
Cernic__20210223T133000+0100_Short-term_Makokou__01140s__conf0.714.wav,IPA6ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210223T133000+0100_Short-term_Makokou__01141s__conf0.819.wav,IPA6ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210223T143000+0100_Short-term_Makokou__00778s__conf0.984.wav,IPA4ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210223T143000+0100_Short-term_Makokou__00779s__conf0.986.wav,IPA4ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00165s__conf0.967.wav,IPA7ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00190s__conf0.929.wav,IPA7ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00218s__conf0.954.wav,IPA7ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00693s__conf0.745.wav,IPA2ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00694s__conf0.995.wav,IPA2ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
Cernic__20210225T133000+0100_Short-term_Makokou__00698s__conf0.977.wav,IPA2ST,C_pogonias,review:expert_pogonias,"expert returned this clip in a folder of confirmed C. pogonias, 2026-08-18; the C_pogonias class otherwise holds 150 library recordings and no field audio at all","Santiago Perea, 2026-08-18"
